index,Track,Artist,Danceability,Energy,Key,Loudness,Mode,Valence,Tempo,Time Signature,Target
4627,1985,Bowling For Soup,0.606,0.887,4,-4.404,1,0.903,119.974,4,1
768,1995,H2O,0.531,0.991,9,-5.681,1,0.257,111.998,4,0
5577,1999 [ASOT 353] - Richard Durand Remix,Binary Finary,0.522,0.922,0,-10.402,1,0.309,136.888,4,0
5467,1st Time,Yung Joc Featuring Marques Houston & Trey Songz,0.686,0.603,6,-6.112,1,0.778,133.034,4,1
1851,2 Minutes to Midnight - 1998 Remaster,Iron Maiden,0.467,0.949,4,-6.51,0,0.528,95.054,4,0
4555,2 Step,Unk,0.721,0.72,9,-6.145,0,0.643,76.976,4,1
2350,"2007, The Year Punk Broke (My Heart)",Los Campesinos!,0.215,0.927,0,-3.716,1,0.393,142.51,4,0
4232,21 Guns,Green Day,0.268,0.742,5,-4.939,1,0.416,159.779,4,1
4504,21 Questions,50 Cent Featuring Nate Dogg,0.576,0.807,6,-3.908,0,0.908,90.012,4,1
2187,"24 Caprices for Solo Violin, Op. 1: XXIV. Caprice No. 24 in A Minor: Tema con variazioni (Quasi presto)",Niccolò Paganini,0.437,0.11,9,-20.008,1,0.701,70.78,4,0
1642,24's,T.I.,0.739,0.725,6,-4.301,1,0.582,162.06,4,1
5433,24/7,Kevon Edmonds,0.696,0.627,4,-5.629,1,0.322,116.047,4,1
2840,27.May,Yiruma,0.694,0.0939,5,-20.704,1,0.165,110.457,4,0
3317,3,Britney Spears,0.697,0.709,5,-1.917,0,0.787,134.91,4,1
5829,3 Gymnopédies: I. Lent et douloureux,Erik Satie,0.456,0.0108,7,-28.383,1,0.315,69.457,3,0
1142,3 Gymnopédies: No.1 Lent et douloureux,Erik Satie,0.59,0.00399,7,-36.497,1,0.182,74.381,3,0
531,3 Little Words,Nu Flavor,0.709,0.469,11,-7.083,0,0.256,113.986,4,1
839,3's & 7's,Queens of the Stone Age,0.438,0.99,10,-3.89,0,0.452,131.306,4,0
3305,3D,I See Stars,0.48,0.936,5,-6.214,1,0.31,130.073,4,0
4583,4 AM - Adam K & Soha Radio Edit,Kaskade,0.623,0.694,11,-7.572,0,0.146,126.979,3,0
4444,4 Chants pour franchir le seuil: II. Interlude: La mort de la civilisation,Gérard Grisey,0.364,0.00398,4,-25.144,0,0.039,74.469,1,0
446,"4 Cornish Dances, Op. 91: Four Cornish Dances, Op. 91: No. 2. Andantino",Malcolm Arnold,0.105,0.0315,2,-36.662,1,0.0349,158.256,1,0
2443,4 Ever,Lil' Mo Featuring Fabolous,0.683,0.657,6,-10.668,1,0.764,99.059,4,1
1269,4 In The Morning,Gwen Stefani,0.698,0.826,10,-6.261,1,0.502,92.409,4,1
1750,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,0.753,0.931,2,-4.922,1,0.767,113.029,4,1
1313,4 Minutes,Avant,0.828,0.6,10,-5.429,1,0.655,119.969,4,1
3409,41 Mosquitoes Flying In Formation,Tame Impala,0.519,0.845,7,-6.948,0,0.349,128.045,4,0
4282,42 vexations,Dom Pub,0.675,0.00766,11,-32.584,1,0.38,130.817,4,0
63,5 Star,Yo Gotti,0.715,0.809,9,-5.598,1,0.636,76.493,4,1
1656,5 Traditional Songs: No. 1. The girl I left behind me,John Rutter,0.369,0.126,6,-25.548,1,0.658,91.546,4,0
3524,"5 Traditional Songs: No. 2. O waly, waly",John Rutter,0.219,0.0261,8,-31.795,1,0.0376,136.47,3,0
1014,5 Traditional Songs: No. 3. The British Grenadiers,John Rutter,0.542,0.202,6,-22.209,1,0.44,102.395,4,0
4050,52nd Street (minor Blues),Jazz Juice,0.769,0.706,0,-8.004,0,0.746,135.941,4,0
1070,7 -Seven-,FLOW,0.411,0.927,2,-3.233,1,0.775,170.027,4,0
31,7 Days,Craig David,0.659,0.812,4,-7.499,0,0.888,83.013,4,1
194,"7 Songs on Chinese Poems, Op. 71 No. 4: Traveling Song",Alexander Tcherepnin,0.585,0.123,3,-13.695,1,0.969,115.145,4,0
4746,7 Things,Miley Cyrus,0.59,0.903,1,-4.478,0,0.542,107.023,4,1
5355,8th World Wonder,Kimberley Locke,0.537,0.758,7,-4.065,1,0.295,100.041,4,1
2171,911,Wyclef Jean Featuring Mary J. Blige,0.747,0.646,7,-9.185,1,0.73,87.011,4,1
5371,99 Problems,JAY-Z,0.494,0.887,6,-4.297,0,0.548,89.554,4,1
100,99.9% Sure (I've Never Been Here Before),Brian McComas,0.606,0.959,7,-3.412,1,0.734,116.014,4,1
1338,A Bay Bay,Hurricane Chris,0.577,0.668,6,-4.884,1,0.702,60.709,3,1
2995,A Body Farm,Cattle Decapitation,0.281,0.991,7,-4.341,0,0.0413,123.952,4,0
662,A Brief Walk in the Sea,Near The Parenthesis,0.157,0.58,0,-12.5,0,0.183,191.214,5,0
798,A Celebration For The Death Of Man,Agalloch,0.555,0.562,4,-9.163,0,0.228,115.082,4,0
202,A Child Is Born,Jon Kennedy,0.676,0.73,9,-10.381,1,0.664,104.001,4,0
426,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,0.669,0.592,7,-4.628,1,0.51,75.938,4,1
1577,A Dance With Aera Cura,Miss May I,0.549,0.988,1,-2.866,0,0.191,115.012,4,0
4765,A Day To Be Alone,One Less Reason,0.57,0.376,9,-9.564,0,0.347,115.978,4,0
4183,A Delicate Romance,John Foxx,0.141,0.0157,0,-33.886,1,0.0324,141.339,4,0
794,A Different World,Bucky Covington,0.62,0.686,9,-5.027,1,0.464,128.962,4,1
1947,A Gift of Tears,Jeunesse D'Ivoire,0.541,0.874,9,-5.095,0,0.867,76.577,4,0
5458,A Good Day To Run,Darryl Worley,0.597,0.787,6,-5.322,1,0.664,147.36,4,1
1625,A Hair on the Head of John the Baptist,Saltillo,0.594,0.597,2,-8.658,1,0.216,99.89,4,0
3518,A Handful of Dust,Rudimentary Peni,0.0939,0.633,7,-6.226,1,0.253,187.324,4,0
4590,A Hole In The World,Thursday,0.589,0.229,2,-12.573,0,0.0536,130.368,4,0
3329,A House Is Not A Home,Rob White,0.38,0.442,0,-6.782,1,0.0557,103.933,4,0
4549,A Jewish Folk Festival,Goff Richards,0.285,0.187,2,-19.458,0,0.383,70.087,4,0
1926,A Little Bit Too Fast,Scooter,0.563,0.924,11,-7.669,0,0.371,141.975,4,0
4145,A Little Gasoline,Terri Clark,0.629,0.655,2,-3.798,1,0.764,76.7,4,1
5154,A Little Less Conversation,Elvis Presley vs JXL,0.597,0.97,4,-5.972,0,0.717,114.999,4,1
3181,"A Little Less Sixteen Candles, A Little More Touch Me",Fall Out Boy,0.538,0.889,7,-3.586,1,0.695,133.044,4,1
1347,A Little Too Late,Toby Keith,0.635,0.749,11,-5.815,1,0.628,100.95,4,1
5406,A Long Walk,Jill Scott,0.713,0.541,6,-9.295,0,0.28,75.714,4,1
5735,A Lot Of Things Different,Kenny Chesney,0.589,0.279,2,-13.693,1,0.212,74.847,4,1
3383,"A Mercy of Peace ~ Znamenny Chant, arr. Kovalevsky",Archangel Voices,0.13,0.0236,7,-29.042,0,0.04,80.156,5,0
1520,A Milli,Lil Wayne,0.664,0.69,6,-8.65,0,0.764,151.583,4,1
1846,A Moment Forever,Volbeat,0.539,0.97,2,-3.942,1,0.369,143.855,4,0
3720,A Moment Like This,Kelly Clarkson,0.414,0.572,8,-3.918,1,0.16,145.184,4,1
4641,A Narnia Lullaby,Harry Gregson-Williams,0.231,0.174,5,-16.718,1,0.0322,91.125,4,0
1018,A Necessary End,Saltillo,0.444,0.633,7,-10.121,0,0.227,160.038,4,0
4603,A New Error,Moderat,0.717,0.46,11,-11.326,0,0.0961,110.993,4,0
3532,A Night In Tunisia - Rudy Van Gelder Edition / Remastered 1998,Bud Powell,0.538,0.52,7,-10.127,0,0.764,83.816,4,0
5357,A Prophecy,Asking Alexandria,0.233,0.943,2,-3.443,0,0.0501,149.992,4,0
2161,A Public Affair,Jessica Simpson,0.735,0.86,11,-3.878,0,0.835,124.052,4,1
2311,A Real Fine Place To Start,Sara Evans,0.585,0.789,8,-2.834,1,0.208,120.953,4,1
4308,A Rock And Roll Örökké Éltet,Kalapács,0.527,0.993,7,-2.731,1,0.221,99.989,4,0
4443,"A Rock, Háború",Kalapács,0.563,0.959,7,-2.593,1,0.265,119.999,4,0
3528,A Sentence Of Sorts In Kongsvinger,of Montreal,0.683,0.822,5,-4.771,1,0.562,119.999,4,0
3068,A Star In The East,Harry Belafonte,0.168,0.0916,4,-22.712,0,0.0391,88.825,3,0
3242,A Thousand Miles,Vanessa Carlton,0.56,0.825,11,-3.862,1,0.268,94.931,4,1
4646,A Three-Legged Workhorse,This Will Destroy You,0.535,0.406,3,-8.577,0,0.115,111.982,4,0
1289,A Unilateral Disgust,Skinless,0.142,0.86,4,-5.801,1,0.288,154.983,4,0
3508,A Woman's Love,Alan Jackson,0.593,0.512,4,-10.268,1,0.407,139.334,4,1
1108,A Woman's Worth,Alicia Keys,0.667,0.41,4,-8.323,0,0.493,75.069,4,1
3544,A rock temetése,Rotor,0.323,0.958,11,-4.085,0,0.252,154.299,4,0
4928,A.D.I.D.A.S.,Killer Mike Featuring Big Boi,0.927,0.838,10,-2.741,0,0.69,93.031,4,1
121,AM To PM,Christina Milian,0.872,0.86,0,-3.488,0,0.855,104.956,4,1
2963,ASAP,T.I.,0.79,0.645,9,-5.426,1,0.583,158.13,4,1
2572,ASL,I Set My Friends On Fire,0.525,0.873,7,-4.601,0,0.44,167.861,4,0
2251,ATM,The Stooges,0.325,0.921,4,-8.817,0,0.833,155.804,4,0
4571,Aadu Pambe,Avial,0.593,0.86,7,-7.521,1,0.78,136.959,4,0
172,Aaj Mausam Bada Be-Iman Hai,Mohammed Rafi,0.336,0.449,0,-13.267,1,0.547,139.13,4,0
5320,Aao Milo Chalo,Shaan,0.507,0.787,7,-5.947,0,0.49,114.875,4,0
3669,Aap Agar In Dinon Yahan Hote,Jagjit Singh,0.511,0.512,11,-8.245,1,0.769,179.889,4,0
5651,"Aapka Makan Bahut Achha Hai - From ""Hum Pyar Tumhi Se Kar Baithe""",Alka Yagnik,0.801,0.585,0,-10.081,1,0.733,126.976,4,0
309,Aarariraro,K. J. Yesudas,0.764,0.398,5,-11.501,0,0.507,135.0,4,0
4165,Aaron's Party (Come Get It),Aaron Carter,0.787,0.904,8,-4.483,1,0.954,110.029,4,1
2413,Aaruparanju,P. Jayachandran,0.673,0.739,5,-6.298,0,0.867,91.964,4,0
5840,"Abhi Na Jao Chhod Kaar (Unplugged), Pt. 2",Akriti Kakkar,0.584,0.387,4,-9.401,1,0.244,135.974,3,0
1407,Abomination Reborn,Suffocation,0.272,0.987,6,-5.478,0,0.32,105.604,4,0
1897,About Us,Brooke Hogan Featuring Paul Wall,0.805,0.796,1,-3.904,0,0.699,83.339,4,1
5365,About You Now,Miranda Cosgrove,0.489,0.868,6,-3.8,1,0.658,164.98,4,1
1348,About Your Love For Me - Live,Lisa McClendon,0.596,0.488,11,-9.075,0,0.479,132.253,4,0
3050,Absinthe Party At The Fly Honey Warehouse,Minus the Bear,0.233,0.949,7,-5.436,1,0.455,152.267,4,0
485,Absolute,The Fray,0.413,0.836,3,-5.593,1,0.503,140.515,4,1
2523,Absolutely (Story Of A Girl),Nine Days,0.481,0.94,7,-5.204,1,0.66,96.493,4,1
1164,Abyssinia,Lizzy Mercier Descloux,0.43,0.951,9,-5.271,1,0.699,148.093,4,0
1113,Accidentally In Love,Counting Crows,0.554,0.927,7,-3.641,1,0.81,138.0,4,1
763,According To You,Orianthi,0.619,0.917,5,-2.582,1,0.552,131.002,4,1
3113,Achorripsis,Iannis Xenakis,0.233,0.261,0,-17.975,1,0.0809,63.098,3,0
2496,Acid Rain - Studio,Electro Hippies,0.211,0.691,4,-10.615,1,0.34,75.614,4,0
2991,Act A Fool,Ludacris,0.573,0.906,9,-2.408,1,0.775,110.64,5,1
821,Action Woman,The Litter,0.322,0.672,0,-7.391,1,0.536,133.887,4,0
1317,Adadhu Asangadhu,Aruna Sairam,0.539,0.417,0,-15.529,1,0.772,147.628,4,0
3846,Addicted,Simple Plan,0.522,0.751,1,-5.46,1,0.605,139.51,3,1
5816,Addicted,Saving Abel,0.512,0.865,7,-4.146,1,0.529,138.017,4,1
3984,Adult,John Foxx,0.313,0.0357,4,-23.86,0,0.118,71.793,3,0
4459,Ae Dil Mujhe Asi Jagah Le,Talat Mahmood,0.468,0.299,10,-15.672,1,0.653,89.103,4,0
3423,Aerials,System Of A Down,0.364,0.922,0,-4.217,0,0.227,79.342,4,1
4997,After Hours,Ronny Jordan,0.525,0.61,6,-11.478,0,0.616,169.418,4,0
703,After Party,Koffee Brown,0.802,0.552,5,-4.796,0,0.601,105.481,4,1
663,Afterhours - deadmau5 Electro House Remix,Melleefresh,0.829,0.672,11,-7.022,0,0.621,127.979,4,0
208,Again,Faith Evans,0.489,0.763,7,-6.077,1,0.362,173.822,4,1
1569,Again,Lenny Kravitz,0.55,0.805,2,-5.218,1,0.786,79.168,4,1
5767,Again And Again,Jewel,0.522,0.792,0,-3.795,1,0.289,132.998,4,1
5601,Aidhar Kankan Odhar Kankan,Asa Singh Mastana,0.619,0.302,10,-11.789,1,0.604,149.14,4,0
1764,Aimin At Your Head,Pretty Lights,0.619,0.564,10,-5.824,0,0.832,175.978,4,0
2969,Ain't I,Yung L.A. Featuring Young Dro & T.I.,0.662,0.827,11,-3.095,1,0.58,77.511,4,1
37,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,0.781,0.746,8,-2.686,1,0.786,89.43,4,1
2573,Ain't No Other Man,Christina Aguilera,0.862,0.742,7,-4.722,1,0.511,127.91,4,1
527,Ain't No Rest For The Wicked,Cage The Elephant,0.634,0.849,0,-7.075,1,0.919,156.004,4,1
5664,Ain't No Sunshine,Wovenhand,0.456,0.535,7,-7.376,0,0.162,160.277,4,0
339,Ain't Nothing 'Bout You,Brooks & Dunn,0.676,0.753,8,-6.239,0,0.772,96.993,4,1
689,Ain’t No Punk,Do Or Die,0.862,0.633,6,-6.152,1,0.246,129.913,4,0
1860,Aion: I. —,Giacinto Scelsi,0.143,0.148,8,-22.356,1,0.0363,139.145,4,0
1895,Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",0.784,0.459,4,-9.74,0,0.618,164.062,4,1
329,Air War,Crystal Castles,0.769,0.806,0,-3.833,1,0.517,120.001,4,0
138,Airport Sadness - 2008 Remaster,Brad Mehldau,0.444,0.0162,5,-27.773,1,0.079,100.364,4,0
5417,Airwave,Rank 1,0.778,0.705,0,-10.916,1,0.0734,136.059,4,0
4367,"Ajj Din Chadheya (From ""Love Aaj Kal "")",Rahat Fateh Ali Khan,0.585,0.687,9,-4.553,1,0.815,85.871,4,0
4041,Ajnabi Mujhko Itna Bata,Asha Bhosle,0.535,0.727,5,-4.532,0,0.621,98.23,4,0
1265,Akathist Hymn: Kontakion,Choir of the Monks of Chevetogne,0.0991,0.103,11,-22.338,1,0.037,78.055,1,0
2729,Akhera Goiti - Akhera Beiti (One Black Opalith For Tomorrow),Absu,0.0822,0.997,8,-2.985,1,0.0582,84.161,4,0
741,Akkam Pakkam,Sadhana Sargam,0.773,0.628,11,-6.737,0,0.588,119.96,4,0
2629,Alaipayuthe Kanna,Aruna Sairam,0.545,0.413,0,-15.663,1,0.673,143.406,4,0
4820,Alakadalil,Kester,0.642,0.539,2,-9.025,0,0.532,134.955,3,0
2048,Alcohol,Brad Paisley,0.552,0.754,11,-5.888,1,0.595,141.671,3,1
4566,Aldri For Seint Te Rock 'N Roll,Sie Gubba,0.527,0.86,2,-5.439,1,0.733,117.965,4,0
4389,Alexander Nevsky: The field of the dead (Mezzo-soprano) -,Sergei Prokofiev,0.207,0.0238,0,-28.924,0,0.035,132.146,1,0
4835,"Alexander's Feast, HWV 75: Part II: Duet: Let's imitate her notes above (Soprano, Mezzo-soprano)",George Frideric Handel,0.387,0.0822,5,-18.631,1,0.387,82.0,3,0
5494,Algo Que Decir,Allison,0.384,0.975,4,-2.666,0,0.524,192.958,4,0
1560,Alive,P.O.D.,0.421,0.95,10,-3.985,1,0.553,80.912,4,1
1230,All Around Me,Flyleaf,0.473,0.871,9,-4.893,1,0.47,146.975,4,1
2555,All Because Of You,Marques Houston Featuring Young Rome,0.448,0.875,1,-6.383,0,0.683,169.898,4,1
522,All Eyez On Me,Monica,0.758,0.739,7,-4.429,1,0.848,108.995,4,1
5267,All Falls Down,Kanye West Featuring Syleena Johnson,0.657,0.734,8,-4.832,0,0.434,91.03,4,1
928,All Falls Down,Adelitas Way,0.497,0.725,2,-5.296,0,0.284,134.987,4,0
4647,All For Love,Clueless,0.604,0.586,2,-6.505,1,0.323,77.055,4,0
4431,All For Me Grog,Beatnik Turtle,0.488,0.828,7,-7.655,1,0.644,137.131,1,0
1582,All Good Things (Come To An End),Nelly Furtado,0.661,0.653,9,-7.717,0,0.387,100.899,4,1
161,All Hail Shadow,Crush 40,0.308,0.934,7,-6.939,1,0.419,170.009,4,0
2051,All I Can Find,Backbone,0.333,0.86,2,-13.112,1,0.232,106.065,4,0
976,All I Ever Wanted,Chuck Wicks,0.538,0.773,11,-4.659,1,0.611,94.053,4,1
4874,All I Have,Jennifer Lopez Featuring LL Cool J,0.699,0.668,1,-5.305,1,0.472,83.074,4,1
3862,All I Need - Visa Mix,Visa,0.629,0.998,9,-3.772,1,0.196,170.955,4,0
356,All I Want To Do,Sugarland,0.709,0.725,4,-4.999,1,0.759,97.046,4,1
5600,All Jacked Up,Gretchen Wilson,0.392,0.928,0,-3.702,1,0.765,188.72,3,1
1677,All My Friends Say,Luke Bryan,0.683,0.9,9,-4.422,1,0.962,117.036,4,1
4302,All My Life,Foo Fighters,0.58,0.604,5,-5.703,1,0.645,167.784,4,1
2198,All Or Nothing,O-Town,0.641,0.453,0,-4.98,1,0.216,126.872,4,1
5449,All Summer Long,The Rock Heroes,0.606,0.885,7,-4.377,1,0.855,102.992,4,1
1001,All Summer Long,Kid Rock,0.7,0.864,7,-3.629,1,0.887,102.997,4,1
2567,All Summer Long,Hit Masters,0.564,0.893,7,-4.606,1,0.892,103.023,4,1
1780,All Systems Fail,The Varukers,0.202,0.911,4,-3.369,1,0.466,88.084,4,0
2832,All That I've Got,The Used,0.335,0.858,7,-4.565,1,0.451,177.981,4,0
2118,All The Above,Maino Featuring T-Pain,0.374,0.888,8,-3.197,1,0.365,148.828,4,1
174,All The Right Moves,OneRepublic,0.529,0.948,0,-3.527,1,0.65,146.024,4,1
1115,All The Small Things,Blink-182,0.434,0.897,0,-4.918,1,0.684,148.726,4,1
5578,All The Things She Said,t.A.T.u.,0.603,0.834,5,-5.766,0,0.376,89.956,4,1
1103,All These Things I Hate (Revolve Around Me),Bullet For My Valentine,0.488,0.879,6,-3.505,0,0.483,94.003,3,0
2682,All These Things That I've Done,The Killers,0.557,0.728,6,-6.181,1,0.216,118.241,4,1
2824,All Things Considered,Yankee Grey,0.656,0.746,8,-5.379,1,0.96,140.865,4,1
3904,All You Wanted,Michelle Branch,0.499,0.72,8,-9.101,1,0.652,96.103,4,1
4103,All of California and Everyone Who Lives There Stinks,World / Inferno Friendship Society,0.711,0.504,11,-6.544,0,0.101,108.038,4,0
578,All over You,The Spill Canvas,0.554,0.941,10,-3.159,0,0.524,134.916,4,0
3702,All the Earth,Parachute Band,0.399,0.627,11,-6.833,1,0.374,157.911,4,0
4116,All-American Girl,Carrie Underwood,0.624,0.805,9,-2.632,1,0.77,123.991,4,1
4281,Allehelgens Dod I Helveds Rike,Dimmu Borgir,0.0744,0.974,1,-3.172,0,0.0609,68.207,4,0
3369,Alleluia (Georgian Chant),Sretenye,0.209,0.284,4,-12.72,0,0.0633,77.085,1,0
2411,Alles wird Pop - Live,Rantanplan,0.584,0.94,7,-3.822,1,0.634,113.084,4,0
4323,Almost,Bowling For Soup,0.546,0.882,11,-4.019,1,0.64,139.966,4,1
5481,Almost Familiar,Pretty Lights,0.622,0.669,0,-4.587,0,0.341,95.801,4,0
55,Almost Home,Craig Morgan,0.525,0.481,8,-6.715,1,0.237,75.974,4,1
1136,Alone,Lasgo,0.72,0.917,8,-4.717,1,0.548,140.025,4,1
3340,Alone,Amorphis,0.288,0.856,5,-6.577,0,0.12,118.085,4,0
3924,Alones,Aqua Timez,0.524,0.958,9,-3.91,0,0.505,92.84,4,0
702,Already Gone,Sugarland,0.48,0.596,1,-5.844,1,0.332,154.769,3,1
2545,Already Gone,Kelly Clarkson,0.209,0.872,9,-2.996,1,0.294,78.139,4,1
250,Alright,Darius Rucker,0.601,0.806,7,-4.579,1,0.711,89.87,4,1
5135,Always,Saliva,0.363,0.906,1,-4.415,1,0.371,181.964,4,1
1487,Always,Amon Tobin,0.67,0.732,7,-5.697,1,0.321,117.984,4,0
748,Always On Time,Ja Rule Featuring Ashanti,0.84,0.706,5,-6.104,0,0.839,96.673,4,1
552,Always On Your Side,Sheryl Crow & Sting,0.519,0.553,5,-4.702,1,0.251,140.164,4,1
5425,Always Strapped,Birdman Featuring Lil Wayne,0.664,0.608,1,-6.563,0,0.43,82.481,4,1
1191,Always The Love Songs,Eli Young Band,0.474,0.766,4,-3.419,1,0.402,149.988,4,1
628,Alyssa Lies,Jason Michael Carroll,0.496,0.602,7,-5.29,1,0.398,75.519,4,1
11,Amarillo Sky,Jason Aldean,0.491,0.776,2,-3.887,1,0.428,154.988,4,1
1475,Amateur (Rock Me Amadeus),Molotov,0.537,0.777,4,-5.129,0,0.543,85.011,4,0
4000,Amay Bhasaili Re,Kumar Sanu,0.501,0.398,2,-12.464,1,0.363,172.757,4,0
3687,Amazed,Lonestar,0.557,0.553,1,-7.954,1,0.253,139.821,4,1
2845,Amazing,Kanye West Featuring Young Jeezy,0.588,0.554,8,-8.406,1,0.496,146.133,4,1
4752,Amazing,Josh Kelley,0.546,0.852,9,-5.058,1,0.831,96.907,4,1
1492,Ambulance vs. Ambulance,The Blood Brothers,0.554,0.995,1,-2.985,1,0.173,122.976,4,0
3040,America,The Shoes,0.549,0.975,0,-1.988,1,0.708,139.996,4,0
4780,America's Suitehearts,Fall Out Boy,0.483,0.931,2,-3.439,1,0.645,160.05,4,1
2075,American Baby,Dave Matthews Band,0.692,0.822,7,-4.315,1,0.856,120.741,4,1
3806,American Boy,Estelle Featuring Kanye West,0.727,0.729,0,-2.99,1,0.512,117.932,4,1
5701,American Child,Phil Vassar,0.397,0.685,2,-5.815,1,0.443,168.121,3,1
4579,American Hardcore,Weekend Nachos,0.276,0.796,1,-4.841,1,0.0853,87.101,3,0
484,American Hearts,Piebald,0.371,0.965,9,-2.902,1,0.384,165.929,4,0
4840,American Idiot,Green Day,0.38,0.988,1,-2.042,1,0.769,186.113,4,1
1478,American Life,Madonna,0.787,0.583,11,-7.16,0,0.706,101.96,4,1
880,American Pie,Madonna,0.631,0.734,5,-7.48,0,0.591,124.036,4,1
2225,American Ride,Toby Keith,0.519,0.907,9,-2.681,1,0.794,174.085,4,1
219,American Saturday Night,Brad Paisley,0.487,0.938,4,-5.466,1,0.733,157.795,4,1
3277,American Soldier,Toby Keith,0.565,0.541,9,-8.426,1,0.226,82.006,4,1
620,Amesoeurs,Amesoeurs,0.482,0.637,9,-10.568,1,0.404,160.056,4,0
4865,Ami Ki Herilam Jaler Ghate,Anup Ghoshal,0.546,0.428,0,-14.761,1,0.932,151.656,3,0
5756,Amma - Varnam - genre: Vocal; Raga: Gambeeranattai; Tala: Adi,M. Balamuralikrishna,0.576,0.591,0,-9.604,1,0.677,86.486,4,0
402,Ammunition,Synapscape,0.165,0.582,5,-9.576,0,0.0754,84.279,4,0
1902,Amnesthesia,XE-NONE,0.533,0.96,1,-0.864,0,0.342,129.971,4,0
4128,Among Ancestors,Turisas,0.243,0.843,2,-7.558,1,0.182,87.17,3,0
3033,Among Ancestors,Turisas,0.237,0.847,6,-7.622,0,0.237,169.483,4,0
5428,Amor Eterno,Cristian Castro,0.553,0.789,0,-4.355,1,0.491,104.979,4,1
